acknowledgement,acknowledgment
adviser,advisor
aeroplane,airplane
aesthetic,esthetic
aluminium,aluminum
among,amongst
anaemia,anemia
anaesthesia,anesthesia
analogue,analog
analyse,analyze
annexe,annex
apologise,apologize
archaeology,archeology
armour,armor
arse,ass
artefact,artifact
authorise,authorize
axe,ax
barbecue,barbeque
behaviour,behavior
caesium,cesium
cancelled,canceled
cancelling,canceling
carburettor,carburetor
centre,center
cheque,check
chequer,checker
civilise,civilize
collectable,collectible
colonisation,colonization
colonise,colonize
colour,color
connexion,connection
cosy,cozy
cypher,cipher
defence,defense
diarrhoea,diarrhea
disc,disk
distil,distill
donut,doughnut
draught,draft
dreamt,dreamed
emphasise,emphasize
encyclopaedia,encyclopedia
endeavour,endeavor
enquire,inquire
enrolment,enrollment
equalling,equaling
faeces,feces
favour,favor
favourite,favorite
fibre,fiber
flaky,flakey
flautist,flutist
flavour,flavor
flier,flyer
foetal,fetal
foetid,fetid
foetus,fetus
fuelling,fueling
fulfil,fulfill
furore,furor
gaol,jail
generalise,generalize
glycerine,glycerin
gray,grey
gynaecology,gynecology
haem,heme
haematology,hematology
haemophilia,hemophilia
harbour,harbor
harmonisation,harmonization
harmonise,harmonize
homologue,homolog
honour,honor
humour,humor
industrialise,industrialize
instalment,installment
italicise,italicize
jewellery,jewelry
judgement,judgment
kerb,curb
kilometre,kilometer
labour,labor
leapt,leaped
learnt,learned
led,lead
licence,license
light,lite
liquorice,licorice
lit,lighted
litre,liter
lodgment,lodgement
manoeuvre,maneuver
marvellous,marvelous
maths,math
meagre,meager
metre,meter
milliard,billion
modelling,modeling
moisturiser,moisturizer
mollusc,mollusk
monologue,monolog
mould,mold
moult,molt
moustache,mustache
mum,mom
neighbour,neighbor
nite,night
odour,odor
oenology,enology
oesophagus,esophagus
oestrogen,estrogen
offence,offense
omelette,omelet
organisation,organization
orthologue,ortholog
orthopaedic,orthopedic
paediatric,pediatric
paedophile,pedophile
paralyse,paralyze
parlour,parlor
pedagogue,pedagog
plough,plow
practise,practice
pretence,pretense
prise,prize
programme,program
pyjamas,pajamas
quarrelled,quarreled
quarrelling,quarreling
realisation,realization
realise,realize
recognise,recognize
rigour,rigor
routeing,routing
rumour,rumor
sabre,saber
saviour,savior
savoury,savory
sceptic,skeptic
signalling,signaling
skilful,skillful
speciality,specialty
spelt,spelled
spoilt,spoiled
storey,story
sulphur,sulfur
theater,theatre
theatre,theater
toward,towards
tranquillity,tranquility
travelled,traveled
traveller,traveler
travelling,traveling
tumour,tumor
tyre,tire
urbanisation,urbanization
valour,valor
vender,vendor
vice,vise
victual,vittle
vigour,vigor
whiskey,whisky
wilful,willful
wintery,wintry
woollen,woolen
yoghurt,yogurt
zed,zee
